Year,Primary Type,total,arrests,arrest_rate
2022,LIQUOR LAW VIOLATION,203,200,98.5
2022,MOTOR VEHICLE THEFT,21472,596,2.8
2022,NARCOTICS,4757,4645,97.6
2022,NON-CRIMINAL,5,2,40.0
2022,OBSCENITY,48,28,58.3
2022,OFFENSE INVOLVING CHILDREN,1895,180,9.5
2022,OTHER NARCOTIC VIOLATION,7,3,42.9
2022,OTHER OFFENSE,14623,2094,14.3
2022,PROSTITUTION,283,280,98.9
2022,PUBLIC INDECENCY,5,4,80.0
2022,PUBLIC PEACE VIOLATION,712,301,42.3
2022,ROBBERY,8964,559,6.2
2022,SEX OFFENSE,1241,104,8.4
2022,STALKING,454,28,6.2
2022,THEFT,54899,2029,3.7
2022,WEAPONS VIOLATION,8781,5394,61.4
2023,ARSON,513,58,11.3
2023,ASSAULT,22631,2329,10.3
2023,BATTERY,44251,7000,15.8
2023,BURGLARY,7488,446,6.0
2023,CONCEALED CARRY LICENSE VIOLATION,205,196,95.6
2023,CRIMINAL DAMAGE,30094,943,3.1
2023,CRIMINAL SEXUAL ASSAULT,1681,103,6.1
2023,CRIMINAL TRESPASS,4722,1324,28.0
2023,DECEPTIVE PRACTICE,17500,743,4.2
2023,GAMBLING,15,15,100.0
2023,HOMICIDE,638,263,41.2
2023,HUMAN TRAFFICKING,12,0,0.0
2023,INTERFERENCE WITH PUBLIC OFFICER,586,512,87.4
2023,INTIMIDATION,237,3,1.3
2023,KIDNAPPING,139,4,2.9
2023,LIQUOR LAW VIOLATION,186,182,97.8
2023,MOTOR VEHICLE THEFT,29256,788,2.7
2023,NARCOTICS,5455,5323,97.6
2023,NON-CRIMINAL,3,0,0.0
2023,OBSCENITY,42,23,54.8
